a,e,i,O,w,M,H
2.11791134,0.527129531,21.2942924,12.6857433,303.35412599999995,81.73088840000001,23.3744831
1.24661505,0.71583122,45.714408899999995,248.20478799999998,33.6259651,240.98698399999998,21.0217495
2.37805653,0.641849339,26.295887,349.700226,162.361206,45.210865000000005,22.8699932
1.29505801,0.475836515,66.65334320000001,196.728928,250.422821,124.552879,18.7317371
2.87110162,0.698752582,27.0289478,243.166931,314.782135,8.81736565,22.0838299
2.24359655,0.695750594,1.48265946,175.621307,201.91246,227.49577299999999,21.8716698
2.1838274,0.549088359,13.265506699999998,294.978302,81.77156070000001,169.38716100000002,23.1471825
1.85770559,0.5383338329999999,33.497974400000004,72.4255142,326.163544,146.91403200000002,23.222578
2.34484053,0.607557297,22.5916538,241.343552,243.95486499999998,59.836208299999996,22.355470699999998
1.31917071,0.894519627,9.40684605,70.5282898,212.695206,26.102012600000002,23.0243015
2.49995542,0.632830381,36.1989021,75.646225,288.45806899999997,33.5443077,20.944704100000003
2.09692335,0.707665861,9.67174053,315.254974,2.89864182,246.474014,19.9489346
1.3040297,0.500201702,44.1863976,62.0471001,151.308731,138.715912,22.866502800000003
1.78762317,0.735652745,42.9081001,81.5337448,349.011322,317.75338700000003,23.2382336
2.18863654,0.787618995,64.5985794,252.10275299999998,158.49221799999998,211.71124300000002,23.290079100000003
1.03254378,0.34491062200000006,7.61838675,241.25370800000002,6.38268089,279.17217999999997,20.944398899999996
2.5347054,0.8418027159999999,26.120124800000003,122.631927,339.291199,338.037598,22.277841600000002
2.13130188,0.6853464840000001,16.661596300000003,11.044188499999999,179.088501,38.955760999999995,22.8012066
1.69398296,0.452554733,55.688564299999996,13.4466,231.58334399999998,108.118279,20.6214237
1.78439939,0.55381006,32.520462,153.415573,18.3232651,134.624084,22.144290899999998
0.9129846690000001,0.433462739,50.6529579,160.210999,240.95277400000003,306.02243,23.340301500000002
2.56405616,0.7611846329999999,23.646759,131.237991,325.61328100000003,68.7546921,22.747488
2.4252193,0.58410114,7.12167645,5.0453639,90.3262939,356.229309,19.247545199999998
1.67396796,0.42382252200000003,41.0021248,229.815475,100.265381,52.6554871,21.7875767
0.9100412729999999,0.256996065,23.3268261,25.9291611,2.53318548,94.0195312,22.0589485
1.26292491,0.666380644,40.4873314,352.560028,150.827744,188.700684,23.3270454
0.9566143159999999,0.310273349,13.3500395,331.700256,319.07705699999997,243.12107799999998,23.4756832
2.94381928,0.695002317,56.37959670000001,120.311577,149.114136,338.613129,22.121107100000003
1.49183846,0.7083672879999999,50.0267982,339.959656,186.25028999999998,18.606000899999998,21.9200287
2.12385893,0.5403774379999999,27.7808418,350.02383399999997,250.89282200000002,107.660873,20.495706600000002
2.72282577,0.72905165,30.1783142,344.50631699999997,242.341309,6.67550325,22.9259892
1.66159821,0.519019723,31.231206899999997,333.56356800000003,290.26828,301.744171,21.9873867
1.48855484,0.44892129299999994,12.1730366,199.17926,340.150269,151.076447,18.4311352
1.79827678,0.542493641,9.61905575,178.183807,58.594497700000005,346.079285,20.803812
1.24869299,0.9650580879999999,19.8183117,105.91976899999999,175.463043,194.805267,23.305805199999998
2.14311266,0.645583451,42.033969899999995,104.477531,127.94580800000001,358.945068,21.7679234
2.46987247,0.788560092,24.547233600000002,161.863388,314.938599,150.709793,22.9945087
2.5669198,0.739185214,16.716915099999998,255.63740499999997,245.678848,244.823441,23.1898556
2.70908809,0.75135541,24.558094,219.18688999999998,345.693848,310.009888,19.926250500000002
2.78577733,0.678550601,11.043362599999998,73.4779434,251.27134700000002,247.992554,21.4659653
2.47818446,0.83801651,42.2707787,162.273682,254.861816,138.535446,23.4200211
2.25736547,0.631029367,22.2191105,23.884235399999998,180.797974,26.0583267,23.4209538
2.90654469,0.862766027,29.611043900000002,74.74662020000001,308.246765,203.123291,19.663223300000002
1.24667692,0.279017866,33.5308685,277.505951,28.636453600000003,246.60939,22.064329100000002
2.93614554,0.6801834109999999,20.4968662,312.699524,143.793304,295.89642299999997,19.0188065
2.58802795,0.715711772,26.5493088,309.568665,295.538391,213.182816,22.8313332
2.77175951,0.8020735379999999,28.084589,342.332764,170.765503,74.0926132,23.019458800000002
2.68531227,0.798372805,10.4957275,108.59940300000001,286.950195,84.7046967,22.603261899999996
1.50766158,0.699956357,53.16266629999999,182.474976,61.72452929999999,242.627548,21.4966736
2.94805861,0.8724654909999999,23.2748852,129.227676,267.589508,32.297596,22.9471302
2.43778801,0.6030606629999999,57.0606575,335.454498,89.4096222,335.676758,22.7848492
2.29650021,0.8336393240000001,7.4287405,127.882225,195.24733,153.915405,22.786300699999998
2.72478604,0.663560927,11.1743641,57.229080200000006,207.448303,38.8859901,23.334882699999998
0.77906394,0.301405042,28.9573021,208.10656699999998,236.151917,212.999634,22.991256699999997
2.43931317,0.606750965,34.1402893,20.3965034,287.62203999999997,185.078033,17.013237
1.53378558,0.34314253899999997,11.7094212,308.75293,251.60362200000003,62.8375931,23.0576115
2.31186056,0.616676986,49.83890529999999,55.54683299999999,141.68364,139.047089,20.711217899999998
1.30809963,0.6865324970000001,7.18745327,102.744225,9.43930531,41.8552399,21.875946
1.13456094,0.7179360990000001,50.2524605,68.4119949,9.63234901,249.50025899999997,23.0596867
1.62951648,0.560099781,14.1495285,345.326965,343.779053,4.49038267,21.927312899999997
2.45248008,0.62216562,35.0639801,250.638779,256.18743900000004,117.01258899999999,21.8713017
2.57236528,0.848013997,44.4669571,16.022369400000002,165.79179399999998,10.320346800000001,23.237092999999998
1.16723502,0.645381868,41.5246735,5.37515736,94.728775,351.37399300000004,23.3417072
2.11846709,0.599919915,12.199386599999999,349.219025,165.308594,86.078125,22.7872429
2.09883118,0.53498739,56.2692299,347.325195,186.84906,228.24444599999998,22.4985046
1.76989841,0.464997947,2.94388843,153.97868300000002,182.173172,209.35997,23.0538788
